Date,Open,High,Low,Close,Adj Close,Volume
2018-11-30,8.640000,8.880000,7.920000,8.400000,8.400000,77500
2018-12-03,8.760000,8.880000,7.920000,8.040000,8.040000,78700
2018-12-04,8.040000,8.640000,7.680000,7.680000,7.680000,111600
2018-12-06,7.680000,7.920000,7.200000,7.680000,7.680000,119000
2018-12-07,8.040000,8.040000,7.320000,7.560000,7.560000,91700
2018-12-10,7.680000,7.680000,6.840000,6.960000,6.960000,183200
2018-12-11,7.200000,7.440000,6.960000,7.080000,7.080000,98900
2018-12-12,7.200000,7.320000,6.840000,7.080000,7.080000,78700
2018-12-13,7.080000,7.080000,6.720000,6.720000,6.720000,66900
2018-12-14,6.840000,6.960000,6.720000,6.720000,6.720000,80400
2018-12-17,6.600000,6.720000,5.880000,5.880000,5.880000,142900
2018-12-18,5.880000,6.240000,5.760000,6.120000,6.120000,84400
2018-12-19,6.120000,6.480000,6.000000,6.240000,6.240000,80500
2018-12-20,6.360000,6.720000,5.640000,5.760000,5.760000,139100
2018-12-21,6.120000,6.480000,6.000000,6.360000,6.360000,156400
2018-12-24,6.120000,6.480000,5.640000,6.240000,6.240000,103600
2018-12-26,6.480000,7.560000,6.360000,6.960000,6.960000,196900
2018-12-27,7.320000,7.440000,6.240000,6.600000,6.600000,106500
2018-12-28,6.840000,7.440000,6.600000,7.320000,7.320000,276800
2018-12-31,7.320000,7.440000,6.480000,6.600000,6.600000,265500
2019-01-02,6.600000,6.960000,6.240000,6.840000,6.840000,249600
2019-01-03,6.840000,6.960000,6.360000,6.600000,6.600000,128100
2019-01-04,6.480000,6.840000,6.360000,6.720000,6.720000,92500
2019-01-07,6.720000,6.960000,6.360000,6.960000,6.960000,131300
2019-01-08,7.200000,7.200000,6.720000,7.080000,7.080000,126600
2019-01-09,7.200000,7.200000,6.480000,6.720000,6.720000,331200
2019-01-10,7.200000,7.200000,6.480000,6.600000,6.600000,204400
2019-01-11,6.600000,6.600000,6.120000,6.240000,6.240000,174400
2019-01-14,6.240000,6.840000,6.240000,6.480000,6.480000,179400
2019-01-15,6.480000,7.080000,6.360000,6.720000,6.720000,228600
2019-01-16,6.720000,6.960000,6.360000,6.480000,6.480000,126100
2019-01-17,6.600000,6.720000,6.360000,6.480000,6.480000,99900
2019-01-18,6.600000,7.200000,6.360000,6.720000,6.720000,203300
2019-01-22,6.840000,6.840000,6.360000,6.360000,6.360000,111900
2019-01-23,6.480000,6.480000,6.120000,6.240000,6.240000,128000
2019-01-24,6.240000,6.600000,6.120000,6.240000,6.240000,109200
2019-01-25,6.600000,6.600000,6.360000,6.480000,6.480000,83100
2019-01-28,6.600000,6.720000,6.360000,6.480000,6.480000,63400
2019-01-29,6.480000,6.600000,6.120000,6.240000,6.240000,98300
2019-01-30,6.360000,6.360000,6.120000,6.360000,6.360000,118100
2019-01-31,6.240000,6.360000,6.120000,6.120000,6.120000,97500
2019-02-01,6.240000,6.240000,6.000000,6.120000,6.120000,68600
2019-02-04,6.120000,6.120000,5.760000,5.760000,5.760000,192400
2019-02-05,5.760000,6.000000,5.640000,5.640000,5.640000,110500
2019-02-06,5.760000,6.000000,5.640000,5.760000,5.760000,165800
2019-02-07,5.880000,5.880000,5.160000,5.520000,5.520000,181500
2019-02-08,5.280000,5.520000,5.280000,5.400000,5.400000,60800
2019-02-11,5.520000,5.520000,5.160000,5.280000,5.280000,79300
2019-02-12,5.400000,5.520000,5.160000,5.280000,5.280000,54100
2019-02-13,5.160000,5.880000,5.160000,5.760000,5.760000,124100
2019-02-14,5.880000,6.600000,5.880000,6.600000,6.600000,183200
2019-02-15,6.720000,7.920000,6.720000,7.440000,7.440000,432000
2019-02-19,8.160000,9.120000,7.920000,9.000000,9.000000,486900
2019-02-20,9.840000,11.280000,9.840000,10.560000,10.560000,881200
2019-02-21,9.840000,9.840000,6.720000,6.960000,6.960000,1463500
2019-02-22,7.560000,7.800000,6.960000,7.080000,7.080000,419200
2019-02-25,6.960000,7.080000,5.880000,6.000000,6.000000,622300
2019-02-26,5.880000,6.240000,5.400000,5.520000,5.520000,572800
2019-02-27,5.640000,6.120000,5.520000,5.640000,5.640000,257300
2019-02-28,5.760000,5.880000,5.520000,5.640000,5.640000,185900
2019-03-01,5.760000,5.760000,5.400000,5.640000,5.640000,169200
2019-03-04,5.880000,6.600000,5.640000,5.880000,5.880000,550500
2019-03-05,6.360000,6.360000,5.520000,5.760000,5.760000,254200
2019-03-06,5.880000,6.000000,5.640000,5.760000,5.760000,246000
2019-03-07,5.160000,5.880000,4.920000,5.160000,5.160000,566900
2019-03-08,5.160000,5.280000,4.920000,5.040000,5.040000,221700
2019-03-11,5.160000,5.160000,4.800000,5.040000,5.040000,265700
2019-03-12,5.040000,5.040000,4.800000,4.800000,4.800000,192500
2019-03-13,4.920000,5.040000,4.680000,4.680000,4.680000,288600
2019-03-14,4.800000,4.800000,4.200000,4.440000,4.440000,466000
2019-03-15,4.560000,4.680000,4.320000,4.320000,4.320000,307600
2019-03-18,4.320000,4.560000,4.200000,4.200000,4.200000,245400
2019-03-19,4.320000,4.320000,3.840000,4.080000,4.080000,339700
2019-03-20,3.960000,4.080000,3.600000,3.720000,3.720000,322500
2019-03-21,3.840000,4.080000,3.840000,4.080000,4.080000,243800
2019-03-22,4.080000,4.080000,3.720000,3.720000,3.720000,278200
2019-03-25,3.840000,3.960000,3.360000,3.720000,3.720000,294100
2019-03-26,3.720000,3.720000,3.600000,3.600000,3.600000,196900
2019-03-27,3.720000,3.720000,3.360000,3.480000,3.480000,211000
2019-03-28,3.600000,3.600000,3.000000,3.120000,3.120000,403200
2019-03-29,3.120000,3.120000,2.880000,3.000000,3.000000,452200
2019-04-01,3.120000,3.240000,3.000000,3.240000,3.240000,269800
2019-04-02,3.360000,3.360000,3.000000,3.120000,3.120000,266400
2019-04-03,3.120000,3.360000,3.000000,3.360000,3.360000,247700
2019-04-04,3.600000,3.600000,3.120000,3.480000,3.480000,386400
2019-04-05,3.600000,3.840000,3.480000,3.720000,3.720000,632400
2019-04-08,3.840000,3.840000,3.360000,3.600000,3.600000,275300
2019-04-09,3.600000,3.600000,3.240000,3.360000,3.360000,334000
2019-04-10,3.480000,3.600000,3.360000,3.480000,3.480000,198000
2019-04-11,3.480000,3.480000,3.360000,3.480000,3.480000,211500
2019-04-12,3.360000,3.480000,3.240000,3.360000,3.360000,191400
2019-04-15,3.240000,3.360000,3.120000,3.360000,3.360000,176000
2019-04-16,3.120000,3.240000,2.880000,3.000000,3.000000,546600
2019-04-17,3.000000,3.000000,2.400000,2.640000,2.640000,664500
2019-04-18,2.520000,2.640000,2.400000,2.640000,2.640000,256700
2019-04-22,2.760000,2.760000,2.520000,2.760000,2.760000,301600
2019-04-23,2.640000,3.120000,2.640000,3.120000,3.120000,409800
2019-04-24,3.120000,4.440000,3.120000,3.480000,3.480000,2162200
2019-04-25,3.480000,3.480000,2.880000,3.000000,3.000000,575000
2019-04-26,3.120000,3.120000,2.760000,2.880000,2.880000,437100
2019-04-29,2.880000,2.880000,2.640000,2.640000,2.640000,380700
2019-04-30,2.880000,3.480000,2.760000,3.120000,3.120000,1634200
2019-05-01,3.120000,3.240000,2.760000,2.880000,2.880000,683600
2019-05-02,2.880000,2.880000,2.640000,2.760000,2.760000,319400
2019-05-03,2.880000,3.000000,2.640000,2.880000,2.880000,544000
2019-05-06,2.880000,2.880000,2.760000,2.760000,2.760000,383900
2019-05-07,2.760000,2.760000,2.640000,2.640000,2.640000,327100
2019-05-08,2.640000,2.760000,2.400000,2.400000,2.400000,747300
2019-05-09,2.110000,2.200000,1.600000,1.640000,1.640000,2682400
2019-05-10,1.640000,1.800000,1.630000,1.700000,1.700000,1460200
2019-05-13,1.750000,1.780000,1.500000,1.510000,1.510000,1483600
2019-05-14,1.540000,1.540000,1.200000,1.270000,1.270000,2640000
2019-05-15,1.220000,1.290000,1.210000,1.260000,1.260000,985200
2019-05-16,1.260000,1.340000,1.210000,1.230000,1.230000,1660300
2019-05-17,1.220000,1.230000,1.080000,1.100000,1.100000,1606700
2019-05-20,1.110000,1.660000,1.040000,1.320000,1.320000,2788200
2019-05-21,1.490000,1.490000,1.190000,1.200000,1.200000,1853600
2019-05-22,1.180000,1.230000,1.120000,1.190000,1.190000,765900
2019-05-23,1.190000,1.350000,1.140000,1.270000,1.270000,1025700
2019-05-24,1.300000,1.340000,1.220000,1.250000,1.250000,1468400
2019-05-28,1.270000,1.400000,1.250000,1.350000,1.350000,1041100
2019-05-29,1.380000,1.390000,1.260000,1.280000,1.280000,706500
2019-05-30,1.270000,1.330000,1.240000,1.250000,1.250000,560500
2019-05-31,1.220000,1.230000,1.170000,1.190000,1.190000,604200
2019-06-03,1.160000,1.200000,1.150000,1.160000,1.160000,505400
2019-06-04,1.170000,1.200000,1.130000,1.170000,1.170000,503000
2019-06-05,1.150000,1.170000,0.700000,0.780000,0.780000,4684300
2019-06-06,0.780000,0.780000,0.460000,0.640000,0.640000,6235300
2019-06-07,0.560000,0.660000,0.530000,0.580000,0.580000,1893700
2019-06-10,0.550000,0.550000,0.410000,0.440000,0.440000,3524900
2019-06-11,0.460000,0.460000,0.380000,0.400000,0.400000,2196900
2019-06-12,0.310000,0.840000,0.200000,0.510000,0.510000,26154700
2019-06-13,0.470000,0.520000,0.380000,0.430000,0.430000,6594500
2019-06-14,0.450000,0.450000,0.350000,0.360000,0.360000,4079000
2019-06-17,0.350000,0.360000,0.300000,0.330000,0.330000,3346500
2019-06-18,0.300000,0.350000,0.300000,0.310000,0.310000,4909600
2019-06-19,0.320000,0.320000,0.230000,0.230000,0.230000,9248000
2019-06-20,0.280000,0.280000,0.210000,0.220000,0.220000,9413400
2019-06-21,0.230000,0.230000,0.200000,0.200000,0.200000,8162800
2019-06-24,0.210000,0.210000,0.180000,0.180000,0.180000,8586600
2019-06-25,0.190000,0.190000,0.150000,0.160000,0.160000,8922500
2019-06-26,0.160000,0.210000,0.130000,0.180000,0.180000,25752500
2019-06-27,0.220000,0.220000,0.160000,0.190000,0.190000,32314800
2019-06-28,0.190000,0.190000,0.170000,0.180000,0.180000,10981900
2019-07-01,0.190000,0.310000,0.180000,0.240000,0.240000,51794100
2019-07-02,0.320000,0.580000,0.310000,0.550000,0.550000,141456400
2019-07-03,0.880000,1.000000,0.630000,0.720000,0.720000,112343900
2019-07-05,0.760000,0.830000,0.680000,0.800000,0.800000,45754200
2019-07-08,0.760000,0.790000,0.690000,0.750000,0.750000,16844500
2019-07-09,0.660000,0.720000,0.500000,0.620000,0.620000,32352700
2019-07-10,0.660000,0.890000,0.650000,0.800000,0.800000,51987700
2019-07-11,0.760000,0.900000,0.740000,0.770000,0.770000,30715100
2019-07-12,0.760000,0.820000,0.700000,0.720000,0.720000,16133200
2019-07-15,0.570000,0.570000,0.360000,0.380000,0.380000,43169800
2019-07-16,0.400000,0.430000,0.290000,0.320000,0.320000,27578100
2019-07-17,0.320000,0.330000,0.290000,0.300000,0.300000,16114900
2019-07-18,0.300000,0.310000,0.260000,0.300000,0.300000,13890600
2019-07-19,0.390000,0.390000,0.310000,0.350000,0.350000,41870100
2019-07-22,0.320000,0.380000,0.310000,0.360000,0.360000,16477500
2019-07-23,0.350000,0.380000,0.350000,0.360000,0.360000,8379300
2019-07-24,0.350000,0.370000,0.310000,0.330000,0.330000,9205800
2019-07-25,0.380000,0.490000,0.370000,0.380000,0.380000,64875700
2019-07-26,0.390000,0.410000,0.360000,0.380000,0.380000,18590900
2019-07-29,0.380000,0.390000,0.340000,0.360000,0.360000,9437500
2019-07-30,0.360000,0.360000,0.340000,0.350000,0.350000,8132800
2019-07-31,0.340000,0.340000,0.320000,0.340000,0.340000,8915400
2019-08-01,0.340000,0.340000,0.310000,0.310000,0.310000,8118200
2019-08-02,0.320000,0.350000,0.290000,0.340000,0.340000,11499600
2019-08-05,0.330000,0.340000,0.310000,0.340000,0.340000,6952000
2019-08-06,0.340000,0.340000,0.310000,0.320000,0.320000,4947400
2019-08-07,0.330000,0.330000,0.300000,0.310000,0.310000,5102500
2019-08-08,0.320000,0.320000,0.300000,0.300000,0.300000,5107700
2019-08-09,0.310000,0.380000,0.300000,0.350000,0.350000,14888300
2019-08-12,0.350000,0.380000,0.330000,0.340000,0.340000,7793700
2019-08-13,0.350000,0.350000,0.310000,0.320000,0.320000,5230300
2019-08-14,0.330000,0.340000,0.300000,0.310000,0.310000,5988700
2019-08-15,0.310000,0.400000,0.300000,0.350000,0.350000,32887300
2019-08-16,0.360000,0.420000,0.360000,0.380000,0.380000,28409500
2019-08-19,0.400000,0.400000,0.360000,0.370000,0.370000,12557800
2019-08-20,0.350000,0.370000,0.330000,0.340000,0.340000,7000600
2019-08-21,0.330000,0.340000,0.320000,0.330000,0.330000,4720200
2019-08-22,0.330000,0.350000,0.330000,0.350000,0.350000,4914100
2019-08-23,0.350000,0.370000,0.330000,0.340000,0.340000,4291900
