StockDt,DayOfTheYear,StockAdjClose
2019-01-02,2,6.840
2019-01-03,3,6.600
2019-01-04,4,6.720
2019-01-07,7,6.960
2019-01-08,8,7.080
2019-01-09,9,6.720
2019-01-10,10,6.600
2019-01-11,11,6.240
2019-01-14,14,6.480
2019-01-15,15,6.720
2019-01-16,16,6.480
2019-01-17,17,6.480
2019-01-18,18,6.720
2019-01-22,22,6.360
2019-01-23,23,6.240
2019-01-24,24,6.240
2019-01-25,25,6.480
2019-01-28,28,6.480
2019-01-29,29,6.240
2019-01-30,30,6.360
2019-01-31,31,6.120
2019-02-01,32,6.120
2019-02-04,35,5.760
2019-02-05,36,5.640
2019-02-06,37,5.760
2019-02-07,38,5.520
2019-02-08,39,5.400
2019-02-11,42,5.280
2019-02-12,43,5.280
2019-02-13,44,5.760
2019-02-14,45,6.600
2019-02-15,46,7.440
2019-02-19,50,9.000
2019-02-20,51,10.560
2019-02-21,52,6.960
2019-02-22,53,7.080
2019-02-25,56,6.000
2019-02-26,57,5.520
2019-02-27,58,5.640
2019-02-28,59,5.640
2019-03-01,60,5.640
2019-03-04,63,5.880
2019-03-05,64,5.760
2019-03-06,65,5.760
2019-03-07,66,5.160
2019-03-08,67,5.040
2019-03-11,70,5.040
2019-03-12,71,4.800
2019-03-13,72,4.680
2019-03-14,73,4.440
2019-03-15,74,4.320
2019-03-18,77,4.200
2019-03-19,78,4.080
2019-03-20,79,3.720
2019-03-21,80,4.080
2019-03-22,81,3.720
2019-03-25,84,3.720
2019-03-26,85,3.600
2019-03-27,86,3.480
2019-03-28,87,3.120
2019-03-29,88,3.000
2019-04-01,91,3.240
2019-04-02,92,3.120
2019-04-03,93,3.360
2019-04-04,94,3.480
2019-04-05,95,3.720
2019-04-08,98,3.600
2019-04-09,99,3.360
2019-04-10,100,3.480
2019-04-11,101,3.480
2019-04-12,102,3.360
2019-04-15,105,3.360
2019-04-16,106,3.000
2019-04-17,107,2.640
2019-04-18,108,2.640
2019-04-22,112,2.760
2019-04-23,113,3.120
2019-04-24,114,3.480
2019-04-25,115,3.000
2019-04-26,116,2.880
2019-04-29,119,2.640
2019-04-30,120,3.120
2019-05-01,121,2.880
2019-05-02,122,2.760
2019-05-03,123,2.880
2019-05-06,126,2.760
2019-05-07,127,2.640
2019-05-08,128,2.400
2019-05-09,129,1.640
2019-05-10,130,1.700
2019-05-13,133,1.510
2019-05-14,134,1.270
2019-05-15,135,1.260
2019-05-16,136,1.230
2019-05-17,137,1.100
2019-05-20,140,1.320
2019-05-21,141,1.200
2019-05-22,142,1.190
2019-05-23,143,1.270
2019-05-24,144,1.250
2019-05-28,148,1.350
2019-05-29,149,1.280
2019-05-30,150,1.250
2019-05-31,151,1.190
2019-06-03,154,1.160
2019-06-04,155,1.170
2019-06-05,156,0.780
2019-06-06,157,0.640
2019-06-07,158,0.580
2019-06-10,161,0.440
2019-06-11,162,0.400
2019-06-12,163,0.510
2019-06-13,164,0.430
2019-06-14,165,0.360
2019-06-17,168,0.330
2019-06-18,169,0.310
2019-06-19,170,0.230
2019-06-20,171,0.220
2019-06-21,172,0.200
2019-06-24,175,0.180
2019-06-25,176,0.160
2019-06-26,177,0.180
2019-06-27,178,0.190
2019-06-28,179,0.180
2019-07-01,182,0.240
2019-07-02,183,0.550
2019-07-03,184,0.720
2019-07-05,186,0.800
2019-07-08,189,0.750
2019-07-09,190,0.620
2019-07-10,191,0.800
2019-07-11,192,0.770
2019-07-12,193,0.720
2019-07-15,196,0.380
2019-07-16,197,0.320
2019-07-17,198,0.300
2019-07-18,199,0.300
2019-07-19,200,0.350
2019-07-22,203,0.360
2019-07-23,204,0.360
2019-07-24,205,0.330
2019-07-25,206,0.380
2019-07-26,207,0.380
2019-07-29,210,0.360
2019-07-30,211,0.350
2019-07-31,212,0.340
2019-08-01,213,0.310
2019-08-02,214,0.340
2019-08-05,217,0.340
2019-08-06,218,0.320
2019-08-07,219,0.310
2019-08-08,220,0.300
2019-08-09,221,0.350
2019-08-12,224,0.340
2019-08-13,225,0.320
2019-08-14,226,0.310
2019-08-15,227,0.350
2019-08-16,228,0.380
2019-08-19,231,0.370
2019-08-20,232,0.340
2019-08-21,233,0.330
2019-08-22,234,0.350
2019-08-23,235,0.340
2019-08-26,238,0.330
2019-08-27,239,0.320
2019-08-28,240,0.320
2019-08-29,241,0.320
2019-08-30,242,0.340
2019-09-03,246,0.340
