StockDt,DayOfTheYear,StockAdjClose
2019-01-02,2,99.647
2019-01-03,3,95.981
2019-01-04,4,100.445
2019-01-07,7,100.573
2019-01-08,8,101.302
2019-01-09,9,102.751
2019-01-10,10,102.090
2019-01-11,11,101.302
2019-01-14,14,100.563
2019-01-15,15,103.480
2019-01-16,16,103.845
2019-01-17,17,104.574
2019-01-18,18,106.141
2019-01-22,22,104.140
2019-01-23,23,105.155
2019-01-24,24,104.653
2019-01-25,25,105.608
2019-01-28,28,103.549
2019-01-29,29,101.440
2019-01-30,30,104.830
2019-01-31,31,102.908
2019-02-01,32,101.282
2019-02-04,35,104.199
2019-02-05,36,105.658
2019-02-06,37,104.485
2019-02-07,38,103.736
2019-02-08,39,104.130
2019-02-11,42,103.716
2019-02-12,43,105.333
2019-02-13,44,105.254
2019-02-14,45,105.342
2019-02-15,46,106.643
2019-02-19,50,106.594
2019-02-20,51,106.040
2019-02-21,52,108.276
2019-02-22,53,109.820
2019-02-25,56,110.434
2019-02-26,57,111.196
2019-02-27,58,111.008
2019-02-28,59,110.869
2019-03-01,60,111.364
2019-03-04,63,111.097
2019-03-05,64,110.543
2019-03-06,65,110.592
2019-03-07,66,109.246
2019-03-08,67,109.365
2019-03-11,70,111.661
2019-03-12,71,112.443
2019-03-13,72,113.314
2019-03-14,73,113.403
2019-03-15,74,114.709
2019-03-18,77,116.352
2019-03-19,78,116.431
2019-03-20,79,116.302
2019-03-21,80,118.974
2019-03-22,81,115.837
2019-03-25,84,116.441
2019-03-26,85,116.688
2019-03-27,86,115.560
2019-03-28,87,115.718
2019-03-29,88,116.718
2019-04-01,91,117.787
2019-04-02,92,117.955
2019-04-03,93,118.727
2019-04-04,94,118.123
2019-04-05,95,118.648
2019-04-08,98,118.687
2019-04-09,99,118.044
2019-04-10,100,118.945
2019-04-11,101,119.083
2019-04-12,102,119.697
2019-04-15,105,119.796
2019-04-16,106,119.519
2019-04-17,107,120.508
2019-04-18,108,122.092
2019-04-22,112,122.478
2019-04-23,113,124.140
2019-04-24,114,123.715
2019-04-25,115,127.812
2019-04-26,116,128.544
2019-04-29,119,128.425
2019-04-30,120,129.247
2019-05-01,121,126.555
2019-05-02,122,124.902
2019-05-03,123,127.564
2019-05-06,126,126.822
2019-05-07,127,124.219
2019-05-08,128,124.209
2019-05-09,129,124.200
2019-05-10,130,125.813
2019-05-13,133,122.072
2019-05-14,134,123.438
2019-05-15,135,125.176
2019-05-16,136,128.066
2019-05-17,137,127.212
2019-05-20,140,125.374
2019-05-21,141,126.050
2019-05-22,142,126.815
2019-05-23,143,125.335
2019-05-24,144,125.394
2019-05-28,148,125.315
2019-05-29,149,124.103
2019-05-30,150,124.888
2019-05-31,151,122.851
2019-06-03,154,119.037
2019-06-04,155,122.335
2019-06-05,156,124.987
2019-06-06,157,126.964
2019-06-07,158,130.520
2019-06-10,161,131.712
2019-06-11,162,131.215
2019-06-12,163,130.609
2019-06-13,164,131.434
2019-06-14,165,131.563
2019-06-17,168,131.960
