StockDt,DayOfTheYear,StockAdjClose
2019-05-13,133,227.010
2019-05-14,134,232.310
2019-05-15,135,231.950
2019-05-16,136,228.330
2019-05-17,137,211.030
2019-05-20,140,205.360
2019-05-21,141,205.080
2019-05-22,142,192.730
2019-05-23,143,195.490
2019-05-24,144,190.630
2019-05-28,148,188.700
2019-05-29,149,189.860
2019-05-30,150,188.220
2019-05-31,151,185.160
2019-06-03,154,178.970
2019-06-04,155,193.600
2019-06-05,156,196.590
2019-06-06,157,205.950
2019-06-07,158,204.500
2019-06-10,161,212.880
2019-06-11,162,217.100
2019-06-12,163,209.260
2019-06-13,164,213.910
2019-06-14,165,214.920
2019-06-17,168,225.030
2019-06-18,169,224.740
2019-06-19,170,226.430
2019-06-20,171,219.620
2019-06-21,172,221.860
2019-06-24,175,223.640
2019-06-25,176,219.760
2019-06-26,177,219.270
2019-06-27,178,222.840
2019-06-28,179,223.460
2019-07-01,182,227.170
2019-07-02,183,224.550
2019-07-03,184,234.900
2019-07-05,186,233.100
2019-07-08,189,230.340
2019-07-09,190,230.060
2019-07-10,191,238.920
2019-07-11,192,238.600
2019-07-12,193,245.080
2019-07-15,196,253.500
2019-07-16,197,252.380
2019-07-17,198,254.860
2019-07-18,199,253.540
2019-07-19,200,258.180
2019-07-22,203,255.680
2019-07-23,204,260.170
2019-07-24,205,264.880
2019-07-25,206,228.820
2019-07-26,207,228.040
2019-07-29,210,235.770
2019-07-30,211,242.260
2019-07-31,212,241.610
2019-08-01,213,233.850
2019-08-02,214,234.340
2019-08-05,217,228.320
2019-08-06,218,230.750
2019-08-07,219,233.420
2019-08-08,220,238.300
2019-08-09,221,235.010
2019-08-12,224,229.010
2019-08-13,225,235.000
2019-08-14,226,219.620
2019-08-15,227,215.640
2019-08-16,228,219.940
2019-08-19,231,226.830
2019-08-20,232,225.860
2019-08-21,233,220.830
2019-08-22,234,222.150
2019-08-23,235,211.400
2019-08-26,238,215.000
2019-08-27,239,214.080
2019-08-28,240,215.590
2019-08-29,241,221.710
2019-08-30,242,225.610
2019-09-03,246,225.010
2019-09-04,247,220.680
2019-09-05,248,229.580
2019-09-06,249,227.450
2019-09-09,252,231.790
2019-09-10,253,235.540
2019-09-11,254,247.100
2019-09-12,255,245.870
2019-09-13,256,245.200
2019-09-16,259,242.810
2019-09-17,260,244.790
2019-09-18,261,243.490
2019-09-19,262,246.600
2019-09-20,263,240.620
2019-09-23,266,241.230
2019-09-24,267,223.210
2019-09-25,268,228.700
2019-09-26,269,242.560
2019-09-27,270,242.130
2019-09-30,273,240.870
2019-10-01,274,244.690
2019-10-02,275,243.130
2019-10-03,276,233.030
2019-10-04,277,231.430
2019-10-07,280,237.720
2019-10-08,281,240.050
2019-10-09,282,244.530
2019-10-10,283,244.740
2019-10-11,284,247.890
2019-10-14,287,256.960
2019-10-15,288,257.890
2019-10-16,289,259.750
2019-10-17,290,261.970
2019-10-18,291,256.950
2019-10-21,294,253.500
2019-10-22,295,255.580
2019-10-23,296,254.680
2019-10-24,297,299.680
2019-10-25,298,328.130
2019-10-28,301,327.710
2019-10-29,302,316.220
2019-10-30,303,315.010
2019-10-31,304,314.920
2019-11-01,305,313.310
2019-11-04,308,317.470
2019-11-05,309,317.220
2019-11-06,310,326.580
2019-11-07,311,335.540
2019-11-08,312,337.140
2019-11-11,315,345.090
2019-11-12,316,349.930
2019-11-13,317,346.110
2019-11-14,318,349.350
2019-11-15,319,352.170
