StockDt,DayOfTheYear,StockAdjClose
2019-01-02,2,4.150
2019-01-03,3,4.200
2019-01-04,4,4.150
2019-01-07,7,4.200
2019-01-08,8,4.800
2019-01-09,9,4.400
2019-01-10,10,4.200
2019-01-11,11,3.550
2019-01-14,14,3.410
2019-01-15,15,3.500
2019-01-16,16,3.560
2019-01-17,17,3.540
2019-01-18,18,3.500
2019-01-22,22,3.160
2019-01-23,23,3.200
2019-01-24,24,3.990
2019-01-25,25,3.650
2019-01-28,28,3.560
2019-01-29,29,3.580
2019-01-30,30,3.550
2019-01-31,31,3.410
2019-02-01,32,3.650
2019-02-04,35,3.650
2019-02-05,36,3.350
2019-02-06,37,3.400
2019-02-07,38,3.450
2019-02-08,39,3.467
2019-02-11,42,3.310
2019-02-12,43,3.427
2019-02-13,44,3.150
2019-02-14,45,3.200
2019-02-15,46,3.190
2019-02-19,50,3.140
2019-02-20,51,3.180
2019-02-21,52,3.100
2019-02-22,53,3.120
2019-02-25,56,3.160
2019-02-26,57,3.180
2019-02-27,58,3.520
2019-02-28,59,3.490
2019-03-01,60,3.400
2019-03-04,63,3.560
2019-03-05,64,3.790
2019-03-06,65,3.730
2019-03-07,66,3.650
2019-03-08,67,3.590
2019-03-11,70,3.740
2019-03-12,71,4.380
2019-03-13,72,4.360
2019-03-14,73,4.240
2019-03-15,74,4.250
2019-03-18,77,4.170
2019-03-19,78,4.330
2019-03-20,79,4.500
2019-03-21,80,4.380
2019-03-22,81,4.130
2019-03-25,84,4.060
2019-03-26,85,4.171
2019-03-27,86,4.150
2019-03-28,87,4.274
2019-03-29,88,4.290
2019-04-01,91,4.050
2019-04-02,92,4.143
2019-04-03,93,4.100
2019-04-04,94,4.300
2019-04-05,95,4.055
2019-04-08,98,4.300
2019-04-09,99,4.260
2019-04-10,100,4.130
2019-04-11,101,4.300
2019-04-12,102,4.300
2019-04-15,105,4.300
2019-04-16,106,4.160
2019-04-17,107,4.010
2019-04-18,108,4.010
2019-04-22,112,3.970
2019-04-23,113,4.500
2019-04-24,114,3.950
2019-04-25,115,4.020
2019-04-26,116,3.960
2019-04-29,119,3.882
2019-04-30,120,3.830
2019-05-01,121,3.700
2019-05-02,122,3.710
2019-05-03,123,3.650
2019-05-06,126,3.680
2019-05-07,127,3.860
2019-05-08,128,3.700
2019-05-09,129,3.810
2019-05-10,130,3.700
2019-05-13,133,3.579
2019-05-14,134,3.550
2019-05-15,135,3.530
2019-05-16,136,3.700
2019-05-17,137,3.600
2019-05-20,140,3.400
2019-05-21,141,3.417
2019-05-22,142,3.400
2019-05-23,143,3.220
2019-05-24,144,3.200
2019-05-28,148,3.380
2019-05-29,149,3.302
2019-05-30,150,3.240
2019-05-31,151,2.910
2019-06-03,154,3.543
2019-06-04,155,3.700
2019-06-05,156,3.630
2019-06-06,157,3.678
2019-06-07,158,3.700
2019-06-10,161,3.510
2019-06-11,162,3.600
2019-06-12,163,3.550
2019-06-13,164,3.500
2019-06-14,165,3.260
2019-06-17,168,3.600
2019-06-18,169,3.630
2019-06-19,170,3.100
2019-06-20,171,3.280
2019-06-21,172,3.400
2019-06-24,175,3.550
2019-06-25,176,3.480
2019-06-26,177,3.350
2019-06-27,178,3.070
2019-06-28,179,3.070
2019-07-01,182,3.340
2019-07-02,183,3.490
2019-07-03,184,3.490
2019-07-05,186,3.370
2019-07-08,189,3.850
2019-07-09,190,3.740
2019-07-10,191,3.450
2019-07-11,192,3.450
2019-07-12,193,3.600
2019-07-15,196,3.230
2019-07-16,197,3.230
2019-07-17,198,3.150
2019-07-18,199,3.272
2019-07-19,200,3.220
2019-07-22,203,3.200
2019-07-23,204,3.172
2019-07-24,205,3.100
2019-07-25,206,3.271
2019-07-26,207,3.105
2019-07-29,210,3.250
2019-07-30,211,2.920
2019-07-31,212,3.200
2019-08-01,213,3.300
2019-08-02,214,3.215
2019-08-05,217,3.102
2019-08-06,218,2.837
2019-08-07,219,2.900
2019-08-08,220,3.050
2019-08-09,221,2.670
2019-08-12,224,2.700
2019-08-13,225,2.680
2019-08-14,226,2.730
2019-08-15,227,2.695
2019-08-16,228,2.930
2019-08-19,231,2.620
2019-08-20,232,2.310
2019-08-21,233,2.475
2019-08-22,234,2.070
2019-08-23,235,1.700
2019-08-26,238,1.650
2019-08-27,239,1.510
2019-08-28,240,1.675
2019-08-29,241,1.680
2019-08-30,242,1.660
2019-09-03,246,1.610
2019-09-04,247,1.620
2019-09-05,248,1.550
2019-09-06,249,1.640
2019-09-09,252,1.617
2019-09-10,253,1.730
2019-09-11,254,1.720
2019-09-12,255,1.830
2019-09-13,256,2.000
2019-09-16,259,1.900
2019-09-17,260,1.970
2019-09-18,261,1.950
2019-09-19,262,1.950
2019-09-20,263,1.800
2019-09-23,266,2.000
2019-09-24,267,1.830
2019-09-25,268,1.860
2019-09-26,269,1.794
2019-09-27,270,1.790
2019-09-30,273,1.730
2019-10-01,274,1.660
2019-10-02,275,1.585
2019-10-03,276,1.640
2019-10-04,277,1.510
2019-10-07,280,1.500
2019-10-08,281,1.550
2019-10-09,282,1.620
2019-10-10,283,1.550
2019-10-11,284,1.660
2019-10-14,287,1.700
2019-10-15,288,1.690
2019-10-16,289,1.700
2019-10-17,290,1.580
2019-10-18,291,1.620
2019-10-21,294,1.570
2019-10-22,295,1.596
2019-10-23,296,1.550
2019-10-24,297,1.600
2019-10-25,298,1.600
2019-10-28,301,1.600
2019-10-29,302,1.700
2019-10-30,303,1.620
2019-10-31,304,1.630
2019-11-01,305,1.750
2019-11-04,308,1.690
2019-11-05,309,1.760
2019-11-06,310,2.280
2019-11-07,311,2.130
2019-11-08,312,2.080
2019-11-11,315,0.666
2019-11-12,316,0.495
2019-11-13,317,0.372
2019-11-14,318,0.440
2019-11-15,319,0.448
2019-11-18,322,0.400
2019-11-19,323,0.415
2019-11-20,324,0.423
2019-11-21,325,0.440
2019-11-22,326,1.730
2019-11-25,329,1.280
2019-11-26,330,1.280
2019-11-27,331,2.320
